"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"51",829,18156,11050,7,"11050_3_6_7","Northern and Central California Dry-Mesic Chaparral","Shrubland",74,NA,NA,74,100,NA,NA,"IV-A",245,246,175,0.960784314,0.964705882,0.68627451,4038,0.1
"52",408,289,10020,2,"10020","Mediterranean California Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,245,215,1,0.960784314,0.843137255,64,0
"53",553,3,10290,3,"10290_2_3_4_5_6_7_12","Mediterranean California Mixed Oak Woodland","Hardwood",285,33,11,8,3,25,72,"I-B",220,100,100,0.862745098,0.392156863,0.392156863,1,0
"54",554,25,10300,3,"10300_2_3_4_5_6_7","Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland","Conifer",176,38,15,10,6,27,67,"I-B",180,80,145,0.705882353,0.31372549,0.568627451,6,0
"55",555,63,10310,3,"10310_2_3_4_5_6_12","California Montane Jeffrey Pine(-Ponderosa Pine) Woodland","Conifer",165,84,11,9,6,11,83,"I-B",167,70,0,0.654901961,0.274509804,0,14,0
"56",558,433,10390,3,"10390_1_2_3_7","North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Conifer",404,NA,NA,404,100,NA,NA,"V-A",170,227,170,0.666666667,0.890196078,0.666666667,96,0
"57",560,4900,10440,3,"10440_3_6_7","Northern California Mesic Subalpine Woodland","Conifer",504,929,NA,327,65,35,NA,"V-A",255,133,0,1,0.521568627,0,1090,0
"58",562,89,10970,3,"10970_3_6_7","California Mesic Chaparral","Shrubland",54,NA,NA,54,100,NA,NA,"IV-A",200,190,85,0.784313725,0.745098039,0.333333333,20,0
"59",565,145,11050,3,"11050_3_6_7","Northern and Central California Dry-Mesic Chaparral","Shrubland",74,NA,NA,74,100,NA,NA,"IV-A",245,246,175,0.960784314,0.964705882,0.68627451,32,0
"60",572,226,11380,3,"11380_3_5","North Pacific Montane Grassland","Grassland",64,NA,NA,64,100,NA,NA,"IV-A",199,230,158,0.780392157,0.901960784,0.619607843,50,0
"61",573,6722,11520,3,"11520_2_3_7","California Montane Riparian Systems","Riparian",64,79,NA,35,55,45,NA,"I-C",65,150,167,0.254901961,0.588235294,0.654901961,1495,0
"62",575,8,11700,3,"11700_2_3_7","Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral","Conifer",201,NA,14,13,7,NA,93,"I-B",210,235,0,0.823529412,0.921568627,0,2,0
"63",760,3216,10080,2,"10080_1_2_3_7","North Pacific Oak Woodland","Hardwood",293,37,14,10,3,26,71,"I-B",255,120,120,1,0.470588235,0.470588235,715,0
"64",776,9,10630,2,"10630_2_7","North Pacific Broadleaf Landslide Forest and Shrubland","Hardwood",100,498,NA,83,83,17,NA,"IV-A",255,247,163,1,0.968627451,0.639215686,2,0
"65",778,379,11280,2,"11280_2_3_4","Northern California Coastal Scrub","Shrubland",110,NA,NA,110,100,NA,NA,"IV-B",148,194,168,0.580392157,0.760784314,0.658823529,84,0
